,Questions
0,How does coronavirus spread?
1,How Does Coronavirus (coronavirus) Spread?
2,What is the mode of transmission? How (easily) does it spread?
3,How does the new coronavirus spread?
4,How does the virus spread?
5,How does coronavirus spread?
6,What Are the Signs & Symptoms of Coronavirus (coronavirus)?
7,What are the symptoms of coronavirus?
8,What are the symptoms of coronavirus infection
9,What are symptoms of coronavirus?
10,What are the symptoms and complications that coronavirus can cause?
11,How severe is coronavirus?
12,Is this virus comparable to the seasonal flu?
13,How do I know if it is coronavirus or just the common flu?
14,How long can the coronavirus stay airborne? I have read different estimates.
15,Can the coronavirus virus spread through air conditioning?
16,Can the virus that causes coronavirus be transmitted through the air?
17,How can I protect my child from coronavirus infection?
18,How Can We Protect Ourselves From Coronavirus (coronavirus)?
19,How Is Coronavirus (coronavirus) Treated?
20,I am looking after someone who is ill with suspect or confirmed coronavirus. What precautions should I take?
21,How can I avoid getting infected?
22,What can I do to protect myself and prevent the spread of disease?
23,Should I use soap and water or hand sanitizer to protect against coronavirus?
24,How can I avoid infecting others?
25,How do you protect yourself from this coronavirus?
26,Does CDC recommend the use of masks to prevent coronavirus?
27,Should I wear a face mask to prevent getting coronavirus?
28,Who Should Wear a Mask?
29,Are face masks effective in protecting against coronavirus?
30,Should children wear masks?
31,Should I wear a mask to protect myself from catching the coronavirus virus?
32,I am well and asymptomatic. Should I use a mask?
33,Until when should I wear a mask after recovering from an illness with respiratory symptoms?
34,Am I at risk for getting coronavirus in the United States?
35,How likely am I to catch coronavirus?
36,Are pregnant women more susceptible to the coronavirus virus and will it harm the fetus?
37,What is the risk of infection in pregnant women and neonates?
38,Are pregnant women more at risk for coronavirus? 
39,Can coronavirus be transmitted through breastfeeding?
40,Can children get coronavirus? 
41,Is My Child at Risk for Coronavirus (coronavirus)?
42,What is the risk of my child becoming sick with coronavirus?
43,Are children also at risk of infection and what is their potential role in transmission?
44,Are the symptoms of coronavirus different in children than in adults?
45,Do adults younger than 65 who are otherwise healthy need to worry about coronavirus?
46,Should I worry about coronavirus?
47,Are people with disabilities at higher risk?
48,Who is at risk of developing severe illness?
49,How severe is coronavirus infection?
50,Are some people more at risk than others?
51,Who is at higher risk for serious illness from coronavirus?
52,"Should I limit time with older adults, including relatives, and people with chronic medical conditions?"
53,Is my child with an underlying medical condition at higher risk for severe illness from coronavirus?
54,How deadly is coronavirus?
55,Who is at highest risk for getting very sick from coronavirus?
56,Are antibiotics effective in preventing or treating coronavirus?
57,Are there any medicines or therapies that can prevent or cure coronavirus?
58,How is coronavirus treated?
59,"Is there a vaccine, drug or treatment for coronavirus?"
60,Is there a vaccine against the virus?
61,How long will it take to develop a vaccine?
62,Is there a treatment for the coronavirus disease?
63,Can coronavirus be treated?
64,Can coronavirus be prevented?
65,How long can the coronavirus that causes coronavirus survive on surfaces?
66,How long does the virus survive on surfaces?
67,What is the risk of getting coronavirus from coins and banknotes?
68,What is the risk of coins and banknotes to be contaminated with SARS-CoV-2?
69,Where can I get tested?
70,How can I get tested for coronavirus?
71,Is there a commercial test kit for coronavirus that I can buy at the store to test myself?
72,How can I get tested for a past infection (antibody test) and what does my test mean?
73,How can I get tested for a current infection (viral test) and what does my test mean?
