,answers,contexts
0,"People can catch coronavirus from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with coronavirus coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch coronavirus by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch coronavirus if they breathe in droplets from a person with coronavirus who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick.","People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick."
1,Experts are looking at whether the virus can spread through stool (poop).,Experts are looking at whether the virus can spread through stool (poop).
2,"We know that the virus can be transmitted when people who are infected show symptoms such as coughing. There is also some evidence suggesting that transmission can occur from a person that is infected even two days before showing symptoms; however, uncertainties remain about the effect of transmission by asymptomatic persons.",The incubation period for COVID-19 (i.e. the time between exposure to the virus and onset of symptoms) is currently estimated to be between one and 14 days.
3,The incubation period for coronavirus (i.e. the time between exposure to the virus and onset of symptoms) is currently estimated to be between one and 14 days.,"We know that the virus can be transmitted when people who are infected show symptoms such as coughing. There is also some evidence suggesting that transmission can occur from a person that is infected even two days before showing symptoms; however, uncertainties remain about the effect of transmission by asymptomatic persons."
4,"The virus seems to be transmitted mainly via small respiratory droplets through sneezing, coughing, or when people interact with each other for some time in close proximity (usually less than one metre). These droplets can then be inhaled, or they can land on surfaces that others may come into contact with, who can then get infected when they touch their nose, mouth or eyes. The virus can survive on different surfaces from several hours (copper, cardboard) up to a few days (plastic and stainless steel). However, the amount of viable virus declines over time and may not always be present in sufficient numbers to cause infection.",The incubation period for COVID-19 (i.e. the time between exposure to the virus and onset of symptoms) is currently estimated to be between one and 14 days.
5,"While animals are believed to be the original source, the virus spread is now from person to person (human-to-human transmission). There is not enough epidemiological information at this time to determine how easily this virus spreads between people, but it is currently estimated that, on average, one infected person will infect between two and three other people.","The virus seems to be transmitted mainly via small respiratory droplets through sneezing, coughing, or when people interact with each other for some time in close proximity (usually less than one metre). These droplets can then be inhaled, or they can land on surfaces that others may come into contact with, who can then get infected when they touch their nose, mouth or eyes. The virus can survive on different surfaces from several hours (copper, cardboard) up to a few days (plastic and stainless steel). However, the amount of viable virus declines over time and may not always be present in sufficient numbers to cause infection."
6,"As of now, researchers know that the new coronavirus is spread through droplets released into the air when an infected person coughs or sneezes. The droplets generally do not travel more than a few feet, and they fall to the ground (or onto surfaces) in a few seconds — this is why physical distancing is effective in preventing the spread.","As of now, researchers know that the new coronavirus is spread through droplets released into the air when an infected person coughs or sneezes. The droplets generally do not travel more than a few feet, and they fall to the ground (or onto surfaces) in a few seconds — this is why physical distancing is effective in preventing the spread."
7,"The virus that causes coronavirus is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs, sneezes, or talks. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. Spread is more likely when people are in close contact with one another (within about 6 feet).","The closer you get to someone with COVID-19 and the longer you are together, the higher your risk of getting infected."
8,"The closer you get to someone with coronavirus and the longer you are together, the higher your risk of getting infected.","The virus that causes COVID-19 is thought to spread mainly from person to person, mainly through respiratory droplets produced when an infected person coughs, sneezes, or talks. These droplets can land in the mouths or noses of people who are nearby or possibly be inhaled into the lungs. Spread is more likely when people are in close contact with one another (within about 6 feet)."
9,"While the initial transmission is believed to have been animal-to-person spread, coronavirus is now spreading from person-to-person. This is thought to occur via respiratory droplets produced when a person infected with the virus coughs or sneezes, the same way flu and other respiratory illnesses spread. The virus that causes coronavirus can also be transmitted if people touch surfaces and objects with the virus on it.","The closer you get to someone with COVID-19 and the longer you are together, the higher your risk of getting infected."
10,"People also may be able to be infected if they touch an infected droplet on a surface and then touch their own nose, mouth, or eyes.","While the initial transmission is believed to have been animal-to-person spread, COVID-19 is now spreading from person-to-person. This is thought to occur via respiratory droplets produced when a person infected with the virus coughs or sneezes, the same way flu and other respiratory illnesses spread. The virus that causes COVID-19 can also be transmitted if people touch surfaces and objects with the virus on it."
